file,header,seq_len,query_len,edits,re_time,re_mem,shiftor_time,shiftor_mem,levenshtein_time,levenshtein_mem
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,3,0.0002327000256627798,63549440,0.0016397999715991318,63549440,0.007859200006350875,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,4,0.00021629995899274945,63549440,0.003184200031682849,63549440,0.00923779996810481,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,5,0.00021269998978823423,63549440,0.002151500026229769,63549440,0.01059049996547401,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,0,3.220001235604286e-05,63549440,0.0015819999971427023,63549440,0.0072820999776013196,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,1,0.00021600001491606236,63549440,0.0016160000232048333,63549440,0.009401500050444156,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,2,0.000222100003156811,63549440,0.0016399999731220305,63549440,0.008417699951678514,63549440
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,3,0.00024419999681413174,63569920,0.0016556000337004662,63569920,0.008182200021110475,63569920
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,4,0.000222100003156811,63569920,0.003935499989893287,63569920,0.01000830001430586,63574016
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,5,0.00021869997726753354,63574016,0.0019196000066585839,63574016,0.011574600008316338,63578112
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,0,0.00021440000273287296,63578112,0.0015786000294610858,63578112,0.012176899996120483,63578112
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,1,0.0002566000330261886,63614976,0.00162830000044778,63614976,0.006473699992056936,63614976
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,2,0.0002172000240534544,63614976,0.0015652999863959849,63614976,0.007164800015743822,63614976
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,3,0.0002145000034943223,63614976,0.0015953999827615917,63614976,0.009823200001846999,63614976
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,4,0.0002691000117920339,63614976,0.001644300005864352,63614976,0.010491499968338758,63614976
dna_low_complexity_len100_0.fasta,dna|low_complexity|len100|i0,100,50,5,0.0002772000152617693,63614976,0.001617699977941811,63614976,0.013279500009957701,63614976
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,0,0.00022630003513768315,63614976,0.00962299999082461,63614976,0.024944600008893758,63614976
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,1,0.00020109995966777205,63627264,0.007574299990665168,63627264,0.024673799984157085,63627264
